YEAR,keyword1,keyword2
2008,1,2661
2008,1,1738
2008,3,96
2008,10,70
2008,9,1100
2008,10,1793
2008,10,423
2008,10,38
2008,9,11477
2008,31,160
2008,5,7654
2008,7,3202
2008,7,62
2008,9,924
2008,9,8916
2008,10,167
2008,9,676
2008,7,977
2008,5,117
2008,7,158
2008,31,5651
2008,11,113
2008,7,2619
2008,7,9572
2008,10,942
2008,10,448
2008,8,211
2008,31,210
2008,5,129
2008,6,115
2008,49,856
2008,1,3261
2008,5,18
2008,1,528
2008,1,1592
2008,31,2275
2008,9,38
2008,9,45
2008,1,1747
2008,1,5726
2008,3,517
2008,33,910
2008,10,6334
2008,6,41
2008,3,753
2008,31,17304
2008,31,1403
2008,4,37
2008,31,573
2008,31,8099
2008,33,103
2008,33,159
2008,9,1238
2008,33,34
2008,33,124
2008,31,149
2008,31,1598
2008,31,1564
2008,4,315
2008,7,524
2008,11,13
2008,10,918
2008,10,264
2008,7,157
2008,3,3432
2008,7,379
2008,31,745
2008,9,9303
2008,7,1117
2008,1,3181
2008,7,89
2008,16,31
2008,4,10069
2008,11,127
2008,3,53
2008,3,6
2008,6,13
2008,6,92
2008,10,31
2008,4,116
2008,1,599
2008,1,345
2008,9,905
2008,10,1289
2008,1,283
2008,1,239
2008,1,917
2008,11,1050
2008,3,52
2008,9,2804
2008,1,265
2008,3,2587
2008,1,16
2008,10,119
2008,9,6911
2008,5,34
2008,7,13
2008,11,18877
2008,6,28
2008,9,10532
2008,4,131
2008,11,4213
2008,9,2639
2008,5,199
2008,1,105
2008,9,611
2008,7,18
2008,3,4690
2008,1,4102
2008,1,1283
2008,7,294
2008,2,354
2008,1,426
2008,9,12824
2008,7,305
2008,31,769
2008,31,220
2008,1,13473
2008,1,3787
2008,10,6584
2008,1,5845
2008,4,90
2008,1,1037
2008,7,608
2008,31,508
2008,5,2791
2008,7,2491
2008,5,90
2008,1,6738
2008,10,36
2008,1,3720
2008,10,703
2008,9,6602
2008,10,182
2008,3,962
2008,9,14104
2008,7,185
2008,1,2052
2008,9,6327
2008,10,940
2008,1,677
2008,31,395
2008,8,1572
2008,9,1568
2008,7,11
2008,9,6767
2009,11,484
2009,7,71
2009,1,261
2009,11,333
2009,11,950
2009,2,337
2009,11,13
2009,3,3941
2009,11,15
2009,5,71
2009,1,138
2009,2,3
2009,4,6
2009,33,2104
2009,7,5575
2009,3,160
2009,3,69
2009,3,89
2009,3,18421
2009,1,1657
2009,8,370
2009,9,355
2009,8,198
2009,6,42
2009,9,1568
2009,2,34
2009,9,53
2009,4,2789
2009,11,32
2009,11,51
2009,9,101
2009,3,1404
2009,31,291
2009,6,122
2009,3,179
2009,31,856
2009,7,3860
2009,27,31
2009,150,348
2009,5,209
2009,1,1863
2009,9,416
2009,1,2639
2009,8,60
2009,2,202
2009,9,192
2009,6,12
2009,31,76
2009,8,4115
2009,1,214
2009,10,1843
2009,9,1816
2009,7,157
2009,3,2601
2009,6,92
2009,31,198
2009,7,28
2009,3,5
2009,3,12445
2009,3,337
2009,2,389
2009,33,439
2009,3,8623
2009,3,27
2009,3,22
2009,23,33
2009,6,41
2009,3,922
2009,10,264
2009,11,152
2009,11,16322
2009,10,1632
2009,3,2035
2009,1,2622
2009,5,8021
2009,11,615
2009,31,851
2009,6,11673
2009,1,302
2009,8,38
2009,31,497
2009,2,994
2009,3,1792
2009,8,790
2009,8,732
2009,8,221
2009,10,144
2009,3,208
2009,33,125
2009,11,16
2009,4,43
2009,4,39
2009,4,32
2009,31,64
2009,8,481
2009,10,466
2009,9,80
2009,9,2374
2009,9,2022
2009,9,808
2009,1,10758
2009,10,2969
2009,1,30
2009,9,5767
2009,31,573
2009,10,2645
2009,4,6322
2009,5,1314
2009,11,223
2009,2,2788
2009,6,75
2009,1,1211
2009,1,6709
2009,7,13
2009,11,22
2009,31,156
2009,7,58
2009,3,158
2009,9,7766
2009,1,174
2009,2,5365
2009,2,20
2009,5,36
2009,10,1493
2009,8,2730
2009,3,854
2009,10,72
2009,1,5116
2009,1,2204
2009,5,2417
2009,10,126
2009,33,517
2009,6,23
2009,11,684
2009,3,125
2009,31,4432
2009,10,198
2009,10,1104
2009,10,287
2009,11,3168
2009,8,1104
2009,10,203
2009,31,835
2009,9,2808
2009,7,6516
2009,7,23
2009,3,28
2009,1,5960
2009,31,98
2009,8,171
2009,3,97
2009,3,52
2009,3,476
2009,8,211
2009,10,429
2009,2,28
2009,1,132
2009,10,448
2009,3,8269
2009,3,57
2009,11,18
2009,7,125
2009,1,9
2009,1,1481
2009,2,154
2009,1,440
2009,14,33
2009,3,166
2009,3,34
2009,3,111
2009,9,3776
2009,3,75
2009,4,133
2009,31,185
2009,3,1958
2009,3,20
2009,11,43
2009,3,360
2009,3,684
2009,4,3322
