YEAR,keyword1,keyword2,keyword3
2010,6,65,92
2010,3,89,2389
2010,2,67,1311
2010,6,23,1013
2010,6,122,1008
2010,11,197,251
2010,4,369,571
2010,2,792,2752
2010,4,35,482
2010,10,779,4196
2010,3,115,6467
2010,1,1482,7738
2010,3,18,89
2010,31,1889,9190
2010,7,575,608
2010,9,1342,1642
2010,9,330,4068
2010,4,257,407
2010,1,3302,4689
2010,9,81,1500
2010,2,635,1527
2010,11,15,989
2010,3,6512,10625
2010,11,10548,11882
2010,4,127,7395
2010,7,134,502
2010,8,1206,17193
2010,3,333,349
2010,10,1178,2059
2010,3,797,6724
2010,10,4121,5329
2010,8,4321,6674
2010,8,5840,7264
2010,8,907,2050
2010,1,4015,6802
2010,7,67,130
2010,33,1961,2026
2010,31,267,6130
2010,31,324,552
2010,5,1357,2155
2010,2,1357,2619
2010,8,326,1077
2010,25,33,146
2010,10,31,1528
2010,31,76,3761
2010,9,500,15896
2010,9,465,16195
2010,1,1200,2450
2010,8,2598,3284
2010,9,1037,4034
2010,8,265,824
2010,10,21,838
2010,5,2472,4883
2010,10,455,9479
2010,11,44,7554
2010,9,81,452
2010,11,65,5188
2010,10,363,6062
2010,2,23,3793
2010,33,420,18889
2010,8,257,12447
2010,3,508,568
2010,7,157,431
2010,4,420,902
2010,11,152,3599
2010,3,196,458
2010,6,52,4026
2010,7,366,1775
2010,1,80,9667
2010,3,219,5733
2010,5,380,1327
2010,5,314,2353
2010,3,22,1376
2010,9,1568,10145
2010,9,2384,6475
2010,10,182,455
2010,1,1919,7129
2010,9,137,17804
2010,8,88,451
2010,18,33,1153
2010,7,248,1807
2010,11,51,183
2010,7,818,4602
2010,11,152,186
2010,10,177,748
2010,8,72,324
2010,2,230,450
2010,10,1004,1667
2010,8,30,1158
2010,31,226,766
2010,33,169,6725
2010,9,80,250
2010,8,98,464
2010,8,139,4698
2010,3,6120,19549
2010,5,65,117
2010,4,14,288
2010,3,846,850
2010,1,3943,17504
2010,2,840,7976
2010,4,14,644
2010,3,69,1245
2010,8,918,1269
2010,10,1793,2382
2010,8,259,9993
2010,1,597,6894
2010,2,69,146
2010,3,4433,14841
2010,8,935,3745
2010,10,160,934
2010,11,2258,3031
2010,8,91,136
2010,33,3476,16921
2010,3,115,1952
2010,8,814,1624
2010,8,464,4805
2010,7,175,384
2010,11,13,144
2010,8,213,2335
2010,4,115,1614
2010,1,345,7627
2010,1,281,734
2010,9,2052,17066
2010,10,1147,1281
2010,11,2586,7316
2010,1,9207,19457
2010,1,4036,13979
2010,9,1561,9070
2010,10,30,88
2010,8,1105,2767
2010,4,1496,1710
2010,31,240,745
2010,33,207,2057
2010,3,1442,6546
2010,4,288,4777
2010,10,423,3858
2010,7,208,456
2010,4,274,571
2010,4,34,277
2010,3,171,1313
2010,9,119,1146
2010,3,190,16726
2010,3,375,1303
2010,5,25,115
2010,2,158,3959
2010,6,51,133
2010,3,193,993
2010,2,3,406
2010,3,292,2034
2010,2,160,12546
2010,5,44,683
2010,11,652,5465
2010,11,150,612
2010,2,97,202
2010,8,21,76
2010,6,51,69
2010,2,6,23
