orgnid,keyword1,keyword2,keyword3
201149,10,1793,2645
201149,10,38,461
201149,31,160,338
100391,5,7654,15182
100391,7,3202,12311
100391,7,62,118
100330,9,924,8916
100330,9,8916,12295
100330,10,167,511
100330,9,676,2394
100330,7,977,17664
100330,24,31,516
100461,5,117,209
100461,7,158,318
100461,11,113,269
100461,7,2619,4354
100453,7,9572,16462
100453,10,942,6511
100453,10,448,4899
100453,8,211,463
100453,31,210,11279
100453,5,129,591
200625,6,115,1614
200625,49,856,1433
200625,1,3261,7627
200625,5,18,102
200625,1,1592,2153
100057,9,38,776
100057,9,45,132
100181,3,517,985
100181,33,910,2225
100181,10,6334,8174
100181,6,41,768
100181,3,753,2577
100181,31,1403,3575
100181,4,37,11959
100181,33,103,1840
100181,33,159,176
100181,9,1238,13902
100181,33,34,40
100181,33,124,176
201361,31,149,224
201361,31,1598,4803
201361,4,315,3793
201361,7,524,3650
201361,11,13,4348
201361,10,918,2169
201361,10,264,605
201361,10,264,1359
201361,7,157,768
201361,3,3432,5643
201361,7,1117,7640
201361,1,3181,4814
201361,7,89,201
201361,16,31,64
201361,10,264,3662
201361,11,127,150
201361,3,53,116
201361,3,6,97
201361,11,127,7487
201361,6,13,93
201361,6,92,299
201361,4,116,507
201393,1,599,7324
201393,9,905,5555
201393,10,1289,1359
201393,1,283,1149
100241,1,917,6656
201214,11,1050,1655
201214,3,52,171
201214,1,265,311
201214,1,16,268
201214,10,119,654
201214,9,6911,9402
201214,5,34,170
201214,7,13,504
201214,6,28,35
201214,9,10532,14608
201214,11,4213,5709
201214,6,28,2210
201214,5,199,6546
201214,1,105,5159
201214,9,611,3654
201214,7,18,27
201214,11,1050,8310
201214,3,4690,14745
400018,1,4102,4672
400018,1,1283,11466
400018,7,294,5321
400018,10,511,3232
400018,2,354,1404
400018,7,305,497
400018,31,769,859
400018,31,220,454
100152,1,1037,2017
100152,7,608,680
100152,31,508,1619
100152,5,2791,4295
100152,7,2491,13790
100152,5,90,328
100152,6,75,2104
201260,9,38,3791
201260,10,36,70
201260,1,3720,7129
201260,10,703,1177
201260,10,182,264
201260,3,962,1577
201260,9,250,8784
201260,7,185,206
201260,1,2052,9223
100063,10,940,1523
100081,1,677,2368
100081,31,395,3884
100219,8,1572,9734
100219,9,1568,15837
100219,11,13,15
100219,7,11,15
100300,9,38,149
100300,9,6767,9418
100027,11,484,2800
100027,7,71,569
100027,1,261,10856
100027,11,333,1807
100027,11,950,1429
100027,2,337,5143
100027,11,13,18
100027,11,15,644
100027,5,71,623
100027,1,138,738
100027,2,3,12
100027,4,6,1749
100027,3,160,12335
100027,3,69,10193
100027,3,89,251
100404,1,1657,2881
100404,8,370,529
100404,9,355,2697
100404,8,198,1838
100404,6,42,162
201243,9,1568,1731
201243,2,34,52
201243,9,53,10252
201243,4,2789,3031
201243,11,32,152
201243,11,51,157
201243,9,101,278
201243,31,291,8384
201243,6,122,15289
201243,3,69,6875
100111,3,179,5671
100111,31,856,11033
100111,7,3860,7305
100111,27,31,2596
100111,150,348,855
100111,2,3,7395
100112,5,209,456
100112,1,1863,2575
100112,9,416,6406
200654,8,60,17163
200654,9,192,3169
200654,6,12,19
200654,8,4115,4569
200654,10,1843,8219
201016,31,198,202
201016,7,28,1203
201016,3,5,23
201016,3,12445,13409
201016,3,337,1681
201016,2,389,1357
201016,3,22,92
201016,23,33,504
201016,6,41,153
201016,3,922,1401
201016,10,264,317
201016,3,89,237
201016,11,152,1631
201016,11,16322,17227
201016,3,89,166
100073,10,1632,4710
100073,11,15,3201
100073,3,2035,4040
100296,11,615,6724
100296,1,302,4250
100296,31,497,2330
100296,2,994,1413
100296,11,13,15
100296,8,38,660
100296,3,1792,5096
100296,8,732,2367
100296,8,221,242
100296,10,144,2876
100296,3,208,266
100296,33,125,10551
100296,11,16,1131
100296,4,43,274
100296,4,32,1376
100044,31,64,4049
100044,8,481,4374
201180,10,466,550
201180,9,80,165
201180,9,2022,6348
100114,9,808,3523
100114,1,10758,11740
100114,10,2969,6805
100114,1,30,541
100070,9,5767,7802
100070,10,2645,4043
100113,5,1314,13921
100113,11,223,4348
100113,2,2788,12008
100113,6,75,389
100113,7,13,375
100113,11,22,1424
100113,31,156,573
100113,7,58,99
100113,3,158,396
100113,1,174,8716
100113,2,5365,9280
100113,2,20,69
201149,5,36,431
201149,10,1493,5890
201149,1,5116,5239
201149,1,2204,8132
201149,31,198,454
100391,10,126,144
100391,33,517,1659
100391,6,23,152
100391,11,684,14159
100391,31,4432,11722
100330,10,198,4489
100330,10,1104,14298
100330,10,287,2036
100330,8,38,1598
100330,11,3168,3642
100330,10,203,266
100330,31,64,291
100461,31,835,18586
100461,9,2808,3413
100461,7,6516,14046
100461,7,23,644
100461,3,28,115
100461,1,5960,6418
100461,31,98,1031
100461,8,171,1649
100453,3,97,8543
100453,10,264,477
100453,3,52,115
100453,3,476,3326
100453,8,211,370
100453,10,429,1624
100453,2,28,65
100453,3,89,286
100453,1,132,4304
100453,3,8269,15920
200625,3,57,1855
200625,11,18,2957
200625,7,125,608
200625,3,179,3964
200625,1,9,345
200625,1,1481,1926
200625,2,154,2667
200625,1,440,581
100181,14,33,207
100181,3,34,497
100181,31,64,291
100181,3,111,1357
100181,3,75,93
100181,4,133,870
100181,31,185,1454
100181,3,1958,10177
100181,3,20,1325
100181,8,38,7454
100181,11,43,251
100181,3,684,1002
100181,4,3322,9598
100181,3,371,2043
100181,11,1107,9836
100181,4,14,43
100181,10,1289,2574
100181,4,782,2890
100181,31,1289,2513
100181,3,574,1570
100181,5,6,201
100181,4,32,407
100181,5,420,473
201361,10,650,9205
201361,4,7481,12820
201361,10,6902,12244
201361,11,18,47
201361,4,1134,2465
201361,3,166,888
201361,11,615,652
201361,6,115,472
201361,3,118,312
201361,5,117,9309
201361,6,23,439
201361,10,182,4052
201361,11,1107,1522
201361,3,69,829
201361,9,1997,8781
201361,11,102,652
201393,9,4521,18695
201393,1,320,353
201393,11,102,1860
100241,1,1538,2236
100241,10,826,4722
100241,10,173,754
201214,6,23,42
201214,11,2426,12564
201214,11,2904,19928
201214,11,1191,2446
201214,11,15,1194
201214,7,18,938
201214,3,5,251
201214,7,123,1050
201214,11,13,1050
201214,11,1050,1631
201214,1,362,1283
201214,1,3355,14937
201214,2,92,1210
201214,5,623,11095
400018,10,266,1620
400018,32,33,244
400018,7,15,527
400018,11,13,22
400018,4,458,601
400018,6,23,737
100152,2,594,2235
100152,6,1601,16378
100152,31,240,851
100152,2,3094,5237
100152,1,1407,3589
100152,3,162,8281
100152,5,48,2213
100152,1,543,8431
100152,3,69,1066
100152,11,18,2276
100152,8,211,224
100152,10,800,2595
100152,10,974,995
100152,10,264,666
100152,3,348,2982
100152,8,464,3691
100152,15,1406,1433
100152,3,69,158
100152,33,197,277
201260,7,405,3895
201260,10,264,4339
201260,8,60,242
201260,8,1168,8842
201260,31,290,2807
201260,7,818,853
201260,33,2938,9829
201260,8,38,221
201260,8,38,192
201260,1,537,6943
201260,8,10,429
100219,11,15,193
100219,5,496,2889
100219,9,2661,4985
100219,3,20,1263
100219,1,1991,3589
